main.cpp:18:  Do not include .cpp files from other packages  [build/include] [4]
main.cpp:20:  <thread> is an unapproved C++11 header.  [build/c++11] [5]
main.cpp:21:  <chrono> is an unapproved C++11 header.  [build/c++11] [5]
main.cpp:23:  <mutex> is an unapproved C++11 header.  [build/c++11] [5]
main.cpp:26:  Found C system header after C++ system header. Should be: main.h, c system, c++ system, other.  [build/include_order] [4]
main.cpp:29:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
main.cpp:29:  At least two spaces is best between code and comments  [whitespace/comments] [2]
main.cpp:36:  Weird number of spaces at line-start.  Are you using a 2-space indent?  [whitespace/indent] [3]
main.cpp:37:  Weird number of spaces at line-start.  Are you using a 2-space indent?  [whitespace/indent] [3]
main.cpp:41:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:41:  Extra space before ( in function call  [whitespace/parens] [4]
main.cpp:42:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:42:  Using C-style cast.  Use static_cast<int>(...) instead  [readability/casting] [4]
main.cpp:43:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:47:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:48:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:49:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:50:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:54:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:57:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:61:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:63:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:63:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
main.cpp:64:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:65:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:67:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:68:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:68:  Missing space before {  [whitespace/braces] [5]
main.cpp:69:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:70:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:70:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
main.cpp:71:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:72:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:73:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:74:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:75:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:76:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:77:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:78:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:79:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:81:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:82:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:83:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:85:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:86:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:90:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:91:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:92:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:93:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:94:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:96:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:97:  Tab found; better to use spaces  [whitespace/tab] [1]
main.cpp:98:  Tab found; better to use spaces  [whitespace/tab] [1]
